run,method,method_name,track,scope,map,level,seed,episode,result,JEV_usd,GPT6_usd,total_usd,game_seconds,wall_seconds,cost_basis
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/5m_vs_6m/jev,jev_gpt6,JEV + GPT-6,micro,main,5m_vs_6m,,,1,loss,0.008218224,0.06485333333333333,0.07307155733333333,7.857,79.235,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/5m_vs_6m/jev,jev_gpt6,JEV + GPT-6,micro,main,5m_vs_6m,,,2,loss,0.008097894,0.06485333333333333,0.07295122733333333,7.857,9.641,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/5m_vs_6m/jev,jev_gpt6,JEV + GPT-6,micro,main,5m_vs_6m,,,3,loss,0.007893480000000001,0.06485333333333333,0.07274681333333333,7.5,9.688,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m_vs_9m/jev,jev_only,JEV-only,micro,main,8m_vs_9m,,,1,loss,0.008497188,0.0,0.008497188,6.786,23.234,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m_vs_9m/jev,jev_only,JEV-only,micro,main,8m_vs_9m,,,2,loss,0.008496768,0.0,0.008496768,6.786,9.188,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m_vs_9m/jev,jev_only,JEV-only,micro,main,8m_vs_9m,,,3,loss,0.008742384,0.0,0.008742384,6.786,9.5,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m_vs_9m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m_vs_9m,,,1,loss,0.012545106000000002,0.07278,0.085325106,8.571,91.375,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m_vs_9m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m_vs_9m,,,2,loss,0.012006078000000002,0.07278,0.084786078,8.571,11.547,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m_vs_9m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m_vs_9m,,,3,loss,0.0117978,0.07278,0.0845778,8.214,11.11,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/10m_vs_11m/jev,jev_only,JEV-only,micro,main,10m_vs_11m,,,1,loss,0.0121758,0.0,0.0121758,7.143,25.235,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/10m_vs_11m/jev,jev_only,JEV-only,micro,main,10m_vs_11m,,,2,loss,0.012025566000000001,0.0,0.012025566000000001,7.143,10.25,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/10m_vs_11m/jev,jev_only,JEV-only,micro,main,10m_vs_11m,,,3,loss,0.011995746000000002,0.0,0.011995746000000002,7.143,10.39,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/10m_vs_11m/jev,jev_gpt6,JEV + GPT-6,micro,main,10m_vs_11m,,,1,loss,0.015061914000000001,0.07731666666666666,0.09237858066666665,8.929,68.953,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/10m_vs_11m/jev,jev_gpt6,JEV + GPT-6,micro,main,10m_vs_11m,,,2,loss,0.01414161,0.07731666666666666,0.09145827666666666,8.571,12.078,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/10m_vs_11m/jev,jev_gpt6,JEV + GPT-6,micro,main,10m_vs_11m,,,3,loss,0.015314082,0.07731666666666666,0.09263074866666665,9.286,13.391,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/27m_vs_30m/jev,jev_only,JEV-only,micro,main,27m_vs_30m,,,1,loss,0.070658868,0.0,0.070658868,6.786,34.594,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/27m_vs_30m/jev,jev_only,JEV-only,micro,main,27m_vs_30m,,,2,loss,0.06972130200000001,0.0,0.06972130200000001,6.786,18.546,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/27m_vs_30m/jev,jev_only,JEV-only,micro,main,27m_vs_30m,,,3,loss,0.069369132,0.0,0.069369132,6.786,18.641,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/27m_vs_30m/jev,jev_gpt6,JEV + GPT-6,micro,main,27m_vs_30m,,,1,loss,0.077915838,0.13079,0.20870583799999998,11.071,82.25,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/27m_vs_30m/jev,jev_gpt6,JEV + GPT-6,micro,main,27m_vs_30m,,,2,loss,0.083591256,0.13079,0.214381256,11.786,32.765,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/27m_vs_30m/jev,jev_gpt6,JEV + GPT-6,micro,main,27m_vs_30m,,,3,loss,0.077036652,0.13079,0.207826652,10.357,28.703,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,jev_only,JEV-only,micro,main,MMM,,,1,loss,0.016420530000000003,0.0,0.016420530000000003,10.0,29.313,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,jev_only,JEV-only,micro,main,MMM,,,2,loss,0.016192176000000003,0.0,0.016192176000000003,10.357,14.485,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM/jev,jev_only,JEV-only,micro,main,MMM,,,3,loss,0.016891853999999998,0.0,0.016891853999999998,11.429,15.953,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM,,,1,loss,0.039871398,0.07873333333333334,0.11860473133333334,26.786,99.828,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM,,,2,win,0.027907278,0.07873333333333334,0.10664061133333333,15.0,21.359,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM,,,3,loss,0.03226461,0.07873333333333334,0.11099794333333333,20.714,29.469,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,jev_only,JEV-only,micro,main,MMM2,,,1,loss,0.015437394,0.0,0.015437394,8.571,27.765,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,jev_only,JEV-only,micro,main,MMM2,,,2,loss,0.014921172,0.0,0.014921172,8.571,12.875,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/MMM2/jev,jev_only,JEV-only,micro,main,MMM2,,,3,loss,0.014889714000000002,0.0,0.014889714000000002,8.571,12.219,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM2,,,1,loss,0.021150066000000002,0.07966666666666666,0.10081673266666666,11.429,85.422,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM2,,,2,loss,0.018952584,0.07966666666666666,0.09861925066666666,10.357,15.703,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/MMM2/jev,jev_gpt6,JEV + GPT-6,micro,main,MMM2,,,3,loss,0.022367982,0.07966666666666666,0.10203464866666667,12.5,20.703,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,jev_only,JEV-only,micro,main,2s3z,,,1,loss,0.011522070000000002,0.0,0.011522070000000002,16.071,34.907,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,jev_only,JEV-only,micro,main,2s3z,,,2,win,0.015204672,0.0,0.015204672,21.429,27.25,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s3z/jev,jev_only,JEV-only,micro,main,2s3z,,,3,win,0.015685152,0.0,0.015685152,27.5,33.937,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,jev_gpt6,JEV + GPT-6,micro,main,2s3z,,,1,loss,0.01943172,0.0658,0.08523172,19.643,73.813,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,jev_gpt6,JEV + GPT-6,micro,main,2s3z,,,2,win,0.020657322,0.0658,0.086457322,19.643,24.625,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s3z/jev,jev_gpt6,JEV + GPT-6,micro,main,2s3z,,,3,loss,0.016779084000000003,0.0658,0.082579084,15.357,19.219,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,jev_only,JEV-only,micro,main,3s5z,,,1,loss,0.020427708000000003,0.0,0.020427708000000003,16.429,38.218,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,jev_only,JEV-only,micro,main,3s5z,,,2,loss,0.019530420000000003,0.0,0.019530420000000003,15.0,20.484,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z/jev,jev_only,JEV-only,micro,main,3s5z,,,3,loss,0.022616916,0.0,0.022616916,19.286,26.328,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z,,,1,loss,0.030432276,0.07386666666666666,0.10429894266666667,23.214,93.797,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z,,,2,loss,0.030808890000000002,0.07386666666666666,0.10467555666666667,22.143,29.797,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z,,,3,loss,0.03109554,0.07386666666666666,0.10496220666666667,23.571,32.031,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,jev_only,JEV-only,micro,main,3s5z_vs_3s6z,,,1,loss,0.019193412,0.0,0.019193412,13.929,35.688,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,jev_only,JEV-only,micro,main,3s5z_vs_3s6z,,,2,loss,0.019598880000000003,0.0,0.019598880000000003,14.643,21.407,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s5z_vs_3s6z/jev,jev_only,JEV-only,micro,main,3s5z_vs_3s6z,,,3,loss,0.019655286,0.0,0.019655286,14.643,21.063,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z_vs_3s6z,,,1,loss,0.024589152000000003,0.07808333333333334,0.10267248533333334,15.714,91.063,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z_vs_3s6z,,,2,loss,0.026066796000000003,0.07808333333333334,0.10415012933333334,16.786,23.391,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s5z_vs_3s6z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s5z_vs_3s6z,,,3,loss,0.024153864,0.07808333333333334,0.10223719733333334,15.0,21.078,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,JEV-only,micro,main,3s_vs_3z,,,1,loss,0.005981892000000001,0.0,0.005981892000000001,13.214,32.016,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,JEV-only,micro,main,3s_vs_3z,,,2,loss,0.006229398,0.0,0.006229398,12.857,16.079,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,JEV-only,micro,main,3s_vs_3z,,,3,loss,0.006165390000000001,0.0,0.006165390000000001,13.214,15.688,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_3z,,,1,loss,0.010821636,0.036270000000000004,0.047091636000000006,14.286,68.656,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_3z,,,2,loss,0.012522384,0.036270000000000004,0.048792384,16.071,20.203,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_3z,,,3,loss,0.01159494,0.036270000000000004,0.04786494,15.714,18.703,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,JEV-only,micro,main,3s_vs_4z,,,1,loss,0.0057916320000000006,0.0,0.0057916320000000006,11.071,26.515,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,JEV-only,micro,main,3s_vs_4z,,,2,loss,0.005625228,0.0,0.005625228,10.714,13.781,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,JEV-only,micro,main,3s_vs_4z,,,3,loss,0.005422410000000001,0.0,0.005422410000000001,10.357,12.531,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_4z,,,1,loss,0.010281474,0.05956333333333333,0.06984480733333333,13.214,72.828,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_4z,,,2,loss,0.010317678,0.05956333333333333,0.06988101133333333,12.857,15.828,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_4z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_4z,,,3,loss,0.010693578000000002,0.05956333333333333,0.07025691133333334,13.571,16.547,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,jev_only,JEV-only,micro,main,3s_vs_5z,,,1,loss,0.00558348,0.0,0.00558348,9.643,27.047,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,jev_only,JEV-only,micro,main,3s_vs_5z,,,2,loss,0.005100732,0.0,0.005100732,9.286,10.985,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_5z/jev,jev_only,JEV-only,micro,main,3s_vs_5z,,,3,loss,0.00550515,0.0,0.00550515,9.286,11.063,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_5z,,,1,loss,0.008581440000000001,0.059596666666666666,0.06817810666666667,10.0,69.047,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_5z,,,2,loss,0.008596392,0.059596666666666666,0.06819305866666667,10.357,13.453,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_5z/jev,jev_gpt6,JEV + GPT-6,micro,main,3s_vs_5z,,,3,loss,0.009155412,0.059596666666666666,0.06875207866666666,10.714,14.36,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,jev_only,JEV-only,micro,main,1c3s5z,,,1,loss,0.019738530000000004,0.0,0.019738530000000004,13.571,32.719,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,jev_only,JEV-only,micro,main,1c3s5z,,,2,loss,0.026743878000000002,0.0,0.026743878000000002,19.286,26.125,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/1c3s5z/jev,jev_only,JEV-only,micro,main,1c3s5z,,,3,loss,0.020246058,0.0,0.020246058,14.286,20.406,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,1c3s5z,,,1,loss,0.028709016000000004,0.053713333333333335,0.08242234933333334,17.857,89.563,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,1c3s5z,,,2,loss,0.027008478000000002,0.053713333333333335,0.08072181133333334,17.857,86.047,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/1c3s5z/jev,jev_gpt6,JEV + GPT-6,micro,main,1c3s5z,,,3,loss,0.025780062000000003,0.053713333333333335,0.07949339533333334,16.071,25.531,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,jev_only,JEV-only,micro,main,2m_vs_1z,,,1,loss,0.0018838260000000001,0.0,0.0018838260000000001,6.786,21.485,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,jev_only,JEV-only,micro,main,2m_vs_1z,,,2,loss,0.0017714340000000001,0.0,0.0017714340000000001,6.429,7.422,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2m_vs_1z/jev,jev_only,JEV-only,micro,main,2m_vs_1z,,,3,loss,0.0018019680000000001,0.0,0.0018019680000000001,6.429,7.344,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,jev_gpt6,JEV + GPT-6,micro,main,2m_vs_1z,,,1,loss,0.004156866,0.06036,0.06451686599999999,8.214,61.422,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,jev_gpt6,JEV + GPT-6,micro,main,2m_vs_1z,,,2,loss,0.004718952,0.06036,0.065078952,9.286,10.641,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2m_vs_1z/jev,jev_gpt6,JEV + GPT-6,micro,main,2m_vs_1z,,,3,loss,0.0047181540000000004,0.06036,0.065078154,9.286,10.578,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,jev_only,JEV-only,micro,main,corridor,,,1,loss,0.028650594,0.0,0.028650594,13.929,34.875,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,jev_only,JEV-only,micro,main,corridor,,,2,loss,0.028733166,0.0,0.028733166,12.857,19.969,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/corridor/jev,jev_only,JEV-only,micro,main,corridor,,,3,loss,0.029351742000000004,0.0,0.029351742000000004,14.286,22.625,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,jev_gpt6,JEV + GPT-6,micro,main,corridor,,,1,loss,0.032700696,0.07261666666666666,0.10531736266666666,18.214,98.719,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,jev_gpt6,JEV + GPT-6,micro,main,corridor,,,2,loss,0.034533618,0.07261666666666666,0.10715028466666666,21.786,31.969,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/corridor/jev,jev_gpt6,JEV + GPT-6,micro,main,corridor,,,3,loss,0.04337785200000001,0.07261666666666666,0.11599451866666667,27.5,56.188,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,jev_only,JEV-only,micro,main,6h_vs_8z,,,1,loss,0.007480914000000001,0.0,0.007480914000000001,6.429,24.657,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,jev_only,JEV-only,micro,main,6h_vs_8z,,,2,loss,0.007599186000000001,0.0,0.007599186000000001,6.786,8.75,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/6h_vs_8z/jev,jev_only,JEV-only,micro,main,6h_vs_8z,,,3,loss,0.00799029,0.0,0.00799029,7.143,9.75,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,jev_gpt6,JEV + GPT-6,micro,main,6h_vs_8z,,,1,loss,0.011958576,0.0674,0.079358576,9.286,72.25,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,jev_gpt6,JEV + GPT-6,micro,main,6h_vs_8z,,,2,loss,0.011198712000000001,0.0674,0.078598712,8.571,10.86,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/6h_vs_8z/jev,jev_gpt6,JEV + GPT-6,micro,main,6h_vs_8z,,,3,loss,0.01146075,0.0674,0.07886075000000001,8.929,11.64,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,jev_only,JEV-only,micro,main,2s_vs_1sc,,,1,loss,0.0043987440000000004,0.0,0.0043987440000000004,16.071,32.157,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,jev_only,JEV-only,micro,main,2s_vs_1sc,,,2,loss,0.00443058,0.0,0.00443058,16.071,18.156,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/2s_vs_1sc/jev,jev_only,JEV-only,micro,main,2s_vs_1sc,,,3,loss,0.0043181040000000006,0.0,0.0043181040000000006,15.714,18.047,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/2s_vs_1sc/jev,jev_gpt6,JEV + GPT-6,micro,main,2s_vs_1sc,,,1,loss,0.008721594000000001,0.06152,0.070241594,16.071,90.281,episode JEV usage plus one third of shared map plan
